AccidentUID,AccidentYear,AccidentMonth,AccidentWeekDay,AccidentHour,CantonCode,AccidentSeverityCategory,AccidentInvolvingMotorcycle
string,,,,,,,
meta,,,,,,,
string,,,,,,,
meta,,,,,,,
DF6B608C8C6D01C2E0430A839427D4F5,2013.0,Jul,Di,Vormittag,,Schwer,1.0
DF6B608C8E4101C2E0430A839427D4F5,2013.0,Jul,Mi,Abend,,Leicht,0.0
B84CEC9199700156E0430A8394270156,2012.0,Mar,Fr,Vormittag,,Leicht,0.0
BAF0291357880066E0430A8394270066,2012.0,Mar,Sa,Nachmittag,,Schwer,0.0
BB07B689F46B0074E0430A8394270074,2012.0,Mar,Do,Abend,,Leicht,0.0
C193FF45779B00AEE0430A839427DA9B,2012.0,Jun,Sa,Nacht,,Leicht,0.0
C2E1A2953C470060E0430A8394277595,2012.0,Jun,Sa,Abend,,Leicht,0.0
C46C695ACD34014CE0430A839427A6BF,2012.0,Okt,Do,Nachmittag,,Leicht,0.0
C473312CAE1C0068E0430A83942792C3,2012.0,Aug,Mi,Nachmittag,,Schwer,0.0
CC66E60F2EB2013CE0430A8394274C05,2012.0,Sep,Do,Abend,,Schwer,0.0
D01FBB342268002AE0430A8394271291,2012.0,Dez,Fr,Nachmittag,,Schwer,0.0
D02C646ED7300168E0430A8394278F86,2012.0,Dez,Sa,Nacht,,Leicht,0.0
D69ED373DF050290E0430A839427E4C3,2013.0,Mar,Sa,Nachmittag,,Leicht,0.0
DB6971E8C19E0150E0430A8394270BCF,2013.0,Mai,Mo,Nachmittag,,Leicht,0.0
E8385432936E014EE0430A839427E3DE,2013.0,Okt,Di,Abend,,Leicht,0.0
EDE6529E70EB002EE0430A8394275B8E,2013.0,Dez,Fr,Nachmittag,,Schwer,0.0
BDDB2B72EECB0140E0430A8394270140,2012.0,Apr,Di,Vormittag,,Leicht,0.0
C2488080894F00E0E0430A839427ADF1,2012.0,Mai,Di,,ZH_CH,Leicht,0.0
C2DAE2C8BF7B012CE0430A839427FFE5,2012.0,Jun,Do,Abend,,Schwer,0.0
C424D69AEBED00D6E0430A839427174C,2012.0,Jul,Fr,Abend,,Leicht,1.0
C46C695A7508014CE0430A839427A6BF,2012.0,Sep,Fr,Vormittag,,Leicht,0.0
C474AA0E6E9000EEE0430A8394274822,2012.0,Aug,Do,Abend,,Leicht,0.0
CB716657D92C016AE0430A83942710FD,2012.0,Okt,Do,Nachmittag,,Leicht,0.0
CB731DC9B1FE0136E0430A839427BF04,2012.0,Okt,So,Vormittag,,Leicht,1.0
CC66E60F1D91013CE0430A8394274C05,2012.0,Nov,Fr,Vormittag,,Schwer,0.0
CC66E60F8210013CE0430A8394274C05,2012.0,Nov,Fr,Abend,,Leicht,0.0
CC66E60F85E5013CE0430A8394274C05,2012.0,Nov,Do,Vormittag,,Leicht,0.0
D3C82505C6CC0178E0430A839427BB02,2013.0,Jan,Mi,Nachmittag,,Schwer,0.0
DA14DD9547B6020CE0430A839427052F,2013.0,Apr,Di,Nachmittag,,Schwer,0.0
DB79FA189ECB01A0E0430A83942717DF,2013.0,Mai,Di,Vormittag,,Leicht,0.0
DF0A708F872201FEE0430A839427EC3D,2013.0,Mai,Di,,ZH_CH,Schwer,0.0
E2A237232353026AE0430A839427C129,2013.0,Aug,Mi,Nachmittag,,Leicht,1.0
E2B8645945D30114E0430A83942726C2,2013.0,Aug,Mo,Abend,,Leicht,0.0
E54EC0F20F2301CAE0430A8394275814,2013.0,Sep,Fr,Nachmittag,,Leicht,0.0
E8385432C3D7014EE0430A839427E3DE,2013.0,Okt,Sa,Nachmittag,,Leicht,0.0
AAC3E065850201F4E0430A83942701F4,2011.0,Aug,Mi,Nachmittag,,Schwer,0.0
BC9EDDBC0F400052E0430A8394270052,2012.0,Apr,So,Vormittag,,Leicht,0.0
C22FA4B01C0900EEE0430A8394278F77,2012.0,Jun,Mi,Abend,,Leicht,1.0
